word,ipa,respelling_us,alt_ipa,alt_respelling_us,source_url,source_label,category,confidence,notes,audio_url
kubectl,/ˈkuːb kənˌtroʊl/,koob control,/ˈkjuːb kʌtəl/|/ˌkjuːb siː tiː ˈɛl/,cube cuddle|kube C T L,,,cli-tool,contested,"K8s community readings vary widely. ""koob-control"" is heard from Kelsey Hightower and many maintainers; ""cube-cuddle"" is the running meme; some say it letter-by-letter.",https://pronounce.renlab.ai/audio/kubectl.mp3
nginx,/ˈɛn dʒɪnˈɛks/,engine X,,,https://nginx.org/en/,NGINX official,product,creator-clarified,"""engine-x"" is the documented reading from the official site.",https://pronounce.renlab.ai/audio/nginx.mp3
GIF,/dʒɪf/,jif,/ɡɪf/,ghif,https://www.nytimes.com/2013/05/22/business/media/creator-of-the-gif-says-its-pronounced-jif.html,"Steve Wilhite, NYT (2013)",acronym,creator-clarified,"Wilhite (creator): ""It's pronounced JIF, not GIF."" Community remains split. The alternate uses ""ghif"" as an explicit hard-G TTS cue.",https://pronounce.renlab.ai/audio/gif.mp3
JSON,/ˈdʒeɪsən/,jay son,/ˈdʒiːˌsɒn/,jee son,https://en.wikipedia.org/wiki/JSON#Pronunciation,Wikipedia § Pronunciation,acronym,contested,"Crockford uses ""JAY-son""; ""JEE-son"" is also widespread. Wikipedia notes the variance.",https://pronounce.renlab.ai/audio/json.mp3
SQL,/ˈsiːkwəl/,sequel,/ˌɛs kjuː ˈɛl/,S Q L,https://en.wikipedia.org/wiki/SQL#Pronunciation,Wikipedia § Pronunciation,acronym,contested,"ANSI: ""S-Q-L""; practitioner: ""sequel"" (heir to IBM SEQUEL).",https://pronounce.renlab.ai/audio/sql.mp3
GUI,/ˈɡuːi/,gooey,/ˌdʒiː juː ˈaɪ/|/ɡwi/,G U I|gwee,https://en.wikipedia.org/wiki/Graphical_user_interface,Wikipedia,acronym,contested,"""GOOEY"" is mainstream (matches Mandarin 故意 sound); ""G-U-I"" letter-by-letter is RMS/old-school; ""gwee"" is rare.",https://pronounce.renlab.ai/audio/gui.mp3
GNU,/ɡnuː/,guh new,,,https://www.gnu.org/gnu/pronunciation.html,GNU Project official,project,creator-clarified,"One syllable, hard G, rhymes with ""new"". Page is a dedicated pronunciation FAQ.",https://pronounce.renlab.ai/audio/gnu.mp3
Kubernetes,/ˌkuːbərˈnɛtiːz/,koober netteez,,,https://kubernetes.io/,K8s docs,product,community-consensus,"""koo-ber-NET-eez"". From Greek κυβερνήτης (helmsman).",https://pronounce.renlab.ai/audio/kubernetes.mp3
k8s,/keɪts/,kates,/ˌkeɪ eɪ ɛs/,K eight S,,dev community,abbreviation,community-consensus,"""kates"" (8 letters between K and s) — community shorthand.",https://pronounce.renlab.ai/audio/k8s.mp3
helm,/hɛlm/,helm,,,https://helm.sh/,Helm docs,tool,community-consensus,"""helm"" (the steering wheel).",https://pronounce.renlab.ai/audio/helm.mp3
